NAME,TYPE,GROUP,LAT,LONG,THUMBNAIL,NOTES,NOTES_NEW,x,y,TIB
South Keeling,Atoll,Eastern indian Ocean,-12.1469,96.8693,http://dpanther2.fiu.edu/worldAtolls/29. So_Keeling.jpg,"lagoon 99.5 km2. Coral rim at islands north & west.  Lagoon mostly <10 m deep with sandy bottom; ~remaining 23 km2  Dmax 15m. Tidal flushing 2-5 days through deep passes. Refs. Allen Coral Atlas 04/21; Purdy, 2001; Kench 1998.","lagoon 99.5 km2. Coral rim at islands north & west.  Lagoon mostly <10 m deep with sandy bottom; ~remaining 23 km2  Dmax 15m. Tidal flushing 2-5 days through deep passes. Refs. Allen Coral Atlas 04/21; Purdy, 2001; Kench 1998.",10783441.15,-1362431.149,
Kayangel,Atoll,Caroline Islands,8.0727,134.7054,http://dpanther2.fiu.edu/worldAtolls/241. Kayangel.jpg,"Platform 25.5 km2 with coral rim, esp. W to NE. Peri-lagoon sand with µalgal mats at S & W. Lagoon 11.9 km2, Dmax 12m. Refs: Allen Coral Atlas 05/21; Y1.","Platform 25.5 km2 with coral rim, esp. W to NE. Peri-lagoon sand with µalgal mats at S & W. Lagoon 11.9 km2, Dmax 12m. Refs: Allen Coral Atlas 05/21; Y1.",14995336.54,901636.9428,
Ulithi,Atoll,Caroline Islands,9.955,139.6495,http://dpanther2.fiu.edu/worldAtolls/243. Ulithi.jpg,"Platform 361 km2, multiple passes, coral/algal rim. Flats rocky leading to thin sand apron. Lagoonal reefs & coral/algal back reef slope, esp. at NW. A few scattered islets/pinnacles in deeper lagoon, Dmax 64m. Refs: Allen Coral Atlas 05/21; P10.","Platform 361 km2, multiple passes, coral/algal rim. Flats rocky leading to thin sand apron. Lagoonal reefs & coral/algal back reef slope, esp. at NW. A few scattered islets/pinnacles in deeper lagoon, Dmax 64m. Refs: Allen Coral Atlas 05/21; P10.",15545711.23,1113803.672,
Sorol,Atoll,Caroline Islands,8.1452,140.3724,http://dpanther2.fiu.edu/worldAtolls/244. Sorol.jpg,"Platform 20.1 km2, open with shallow reef at W. Coral/algae and reef slope coral esp. at NE. Lagoon 7.7 km2 without islands/pinnacles; Dmax 45m. Refs: Allen Coral Atlas 06/21; P10.","Platform 20.1 km2, open with shallow reef at W. Coral/algae and reef slope coral esp. at NE. Lagoon 7.7 km2 without islands/pinnacles; Dmax 45m. Refs: Allen Coral Atlas 06/21; P10.",15626184.09,909789.1148,
Woleai,Atoll,Caroline Islands,7.3462,143.8652,http://dpanther2.fiu.edu/worldAtolls/246. Woleai.jpg,"Platform 48.1 km2, coral/algae rim. lagoon with coral/algae at inner reef flat; patchy sand apron. Lagoon primarily >20m deep, 29.68 km2, with several coral-rimmed pinnacles/islets; Dmax 53m. Refs: Allen Coral Atlas 05/21; Purdy 2001.","Platform 48.1 km2, coral/algae rim. lagoon with coral/algae at inner reef flat; patchy sand apron. Lagoon primarily >20m deep, 29.68 km2, with several coral-rimmed pinnacles/islets; Dmax 53m. Refs: Allen Coral Atlas 05/21; Purdy 2001.",16015000.81,820025.0887,
Chetlat,Atoll,Lakshadweep Islands,11.6935,72.7078,http://dpanther2.fiu.edu/worldAtolls/37. Chetlat.jpg,"Platform 6.7 km2, with coral/algal rim and inner reef flat. Lagoon with seagrass et edge, mostly rocky interior less than 10m deep. Ref: Allan Coral Atlas 04/21.","Platform 6.7 km2, with coral/algal rim and inner reef flat. Lagoon with seagrass et edge, mostly rocky interior less than 10m deep. Ref: Allan Coral Atlas 04/21.",8093795.273,1310846.386,
Ifalik,Atoll,Caroline Islands,7.2508,144.4462,http://dpanther2.fiu.edu/worldAtolls/247. Ifalik.jpg,"Platform 8.16 km2, strongly rimmed by coral/algae & deeper outer reef slope. Lagoon 2.71 km2; sand apron 500m or more at W, less at E; apron = 1 km2. Three sand pinnacles/islets, Dmax 20m. Refs: Allen Coral Atlas 06/21; P10.","Platform 8.16 km2, strongly rimmed by coral/algae & deeper outer reef slope. Lagoon 2.71 km2; sand apron 500m or more at W, less at E; apron = 1 km2. Three sand pinnacles/islets, Dmax 20m. Refs: Allen Coral Atlas 06/21; P10.",16079677.43,809318.4604,
Faraulep,Atoll,Caroline Islands,8.591,144.5096,http://dpanther2.fiu.edu/worldAtolls/248. Faraulep.jpg,"Platform 10.55 km2, coral/algal rim & reef slope, esp. at NE, passes at S with coral-rimmed islands. Lagoon 3.0 km2. Apron 300-500m at W. Lagoon Dmax 20m. Refs: Allen Coral Atlas 06/21; P10.","Platform 10.55 km2, coral/algal rim & reef slope, esp. at NE, passes at S with coral-rimmed islands. Lagoon 3.0 km2. Apron 300-500m at W. Lagoon Dmax 20m. Refs: Allen Coral Atlas 06/21; P10.",16086735.09,959949.5064,
Olimarao,Atoll,Caroline Islands,7.6901,145.8716,http://dpanther2.fiu.edu/worldAtolls/249. Olimarao.jpg,"Platform 11.78 km2, strongly rimmed with coral/algae and deeper reef slope. Two islands rim open at south. Lagoon 6.25 km2 with thin apron, mostly >20m deep, 5.45 km2, Dmax 31m. Refs: Allen Coral Atlas 05/21; Purdy 2001.","Platform 11.78 km2, strongly rimmed with coral/algae and deeper reef slope. Two islands rim open at south. Lagoon 6.25 km2 with thin apron, mostly >20m deep, 5.45 km2, Dmax 31m. Refs: Allen Coral Atlas 05/21; Purdy 2001.",16238352.23,858639.8744,
Kiltan,Atoll,Lakshadweep Islands,11.4803,73.0017,http://dpanther2.fiu.edu/worldAtolls/39. Kiltan.jpg,"Platform 6.6 km2, with lg component (44%) of coral/algae at rim and lagoon flats, followed by seagrass. Lagoon all <10m deep, primarily rock. Ref: Allan Coral Atlas 04/21.","Platform 6.6 km2, with lg component (44%) of coral/algae at rim and lagoon flats, followed by seagrass. Lagoon all <10m deep, primarily rock. Ref: Allan Coral Atlas 04/21.",8126512.071,1286619.338,
Kademat,Atoll,Lakshadweep Islands,11.2206,72.7685,http://dpanther2.fiu.edu/worldAtolls/40. Kademat.jpg,"Platform 32.0 km2; coral/alga margin, rocky lagoon flat followed by seagrass lagoon margin. Lagoon rubble and sand all < 10m deep. Ref: Allen Coral Atlas 04/21.","Platform 32.0 km2; coral/alga margin, rocky lagoon flat followed by seagrass lagoon margin. Lagoon rubble and sand all < 10m deep. Ref: Allen Coral Atlas 04/21.",8100552.366,1257132.937,
Elato,Atoll,Caroline Islands,7.4406,146.1477,http://dpanther2.fiu.edu/worldAtolls/250. Elato.jpg,"Elato platform (13.6 km2) connected to Lamolior Atoll (4.65 km2 platform, 1.74 km2 lagoon) by a 20 m-deep submarine ridge. Elato lagoon bisected by shallow sand channel; north lagoon 2.7 km2; south 2.38 km2. Refs: Allen Coral Atlas 06/21; W4.","Elato platform (13.6 km2) connected to Lamolior Atoll (4.65 km2 platform, 1.74 km2 lagoon) by a 20 m-deep submarine ridge. Elato lagoon bisected by shallow sand channel; north lagoon 2.7 km2; south 2.38 km2. Refs: Allen Coral Atlas 06/21; W4.",16269087.54,830621.7506,
Lamotrek,Atoll,Caroline Islands,7.4921,146.3187,http://dpanther2.fiu.edu/worldAtolls/251. Lamotrek.jpg,"Platform obtusely triangular 51.6 km2. NE & SW rim submerged, coral/algae development at island N, & rim S. Lagoon 34.0 km2, Dx̄ 32.7m, Dmax 50m. Refs: Allen Coral Atlas 06/21; T5; P10.","Platform obtusely triangular 51.6 km2. NE & SW rim submerged, coral/algae development at island N, & rim S. Lagoon 34.0 km2, Dx̄ 32.7m, Dmax 50m. Refs: Allen Coral Atlas 06/21; T5; P10.",16288123.18,836403.7279,
Bangaram & Agatti,Atoll,Lakshadweep Islands,10.9128,72.2279,http://dpanther2.fiu.edu/worldAtolls/42. Bangaram & Agatti.jpg,"Bangaram platform 43 km2, coral/algae at rim E, N and S boundaries. Lagoon all <10m deep, rock, then rubble, primarily sandy lagoon. Aggatti platform 28.6 km2 with similar structure, outer flat with more rock. Ref: Allen Coral Atlas 05/21.","Bangaram platform 43 km2, coral/algae at rim E, N and S boundaries. Lagoon all <10m deep, rock, then rubble, primarily sandy lagoon. Aggatti platform 28.6 km2 with similar structure, outer flat with more rock. Ref: Allen Coral Atlas 05/21.",8040373.049,1222219.517,
Kavaratti,Atoll,Lakshadweep Islands,10.5617,72.6294,http://dpanther2.fiu.edu/worldAtolls/43. Kavaratti.jpg,"Platform 11.6 km2; coral/algae rim, esp. NW side; lagoon flat rocky; seagrass at NW with complex arrangement of coral, rubble & microalgal mats in lagoon, all <10m deep. Ref: Allen Coral Atlas 04/21.","Platform 11.6 km2; coral/algae rim, esp. NW side; lagoon flat rocky; seagrass at NW with complex arrangement of coral, rubble & microalgal mats in lagoon, all <10m deep. Ref: Allen Coral Atlas 04/21.",8085067.825,1182438.691,
Puluwat,Atoll,Caroline Islands,7.3592,149.1893,http://dpanther2.fiu.edu/worldAtolls/254. Puluwat.jpg,"Atoll part of a much larger submerged platform 332 km2; Emergent platform ~9km2, coral/algae at rim esp. at NE/E with two islands dominant. Hoa at N, pass at S. Lagoon 1.52 km2; apron >400m wide at N/NW. Dmax 60m. Refs: Allen Coral Atlas 05/21; P10.","Atoll part of a much larger submerged platform 332 km2; Emergent platform ~9km2, coral/algae at rim esp. at NE/E with two islands dominant. Hoa at N, pass at S. Lagoon 1.52 km2; apron >400m wide at N/NW. Dmax 60m. Refs: Allen Coral Atlas 05/21; P10.",16607676.91,821484.2404,
Kalpeni,Atoll,Lakshadweep Islands,10.1026,73.6394,http://dpanther2.fiu.edu/worldAtolls/44. Kalpeni.jpg,"Platform 27.3 km2, lagoon all <10 m deep. Coral/Algae best developed on western side; central lagoon primarily sand. Ref: Allen Coral Atlas 04/21.","Platform 27.3 km2, lagoon all <10 m deep. Coral/Algae best developed on western side; central lagoon primarily sand. Ref: Allen Coral Atlas 04/21.",8197500.51,1130489.385,
Suheli Par,Atoll,Lakshadweep Islands,10.0774,72.2915,http://dpanther2.fiu.edu/worldAtolls/45. Suheli Par.jpg,"Island 6% of rim area; platform 97.8 km2 rimmed by coral/algae. Outer lagoon flats rock/coral at NW, rock at SE. Inner flats rubble. Lagoon <10m deep with coral/algae & sand most common elements. Ref: Allen Coral Atlas 04/21.","Island 6% of rim area; platform 97.8 km2 rimmed by coral/algae. Outer lagoon flats rock/coral at NW, rock at SE. Inner flats rubble. Lagoon <10m deep with coral/algae & sand most common elements. Ref: Allen Coral Atlas 04/21.",8047452.969,1127640.066,
Namonuito,Atoll,Caroline Islands,8.72,150.355,http://dpanther2.fiu.edu/worldAtolls/255. Namonuito.jpg,"Platform 2145.2 km2, 83% of which is submerged. Cays at N-SE & SW where islands are rimmed by coral/algae. Lagoon almost entirely >20m deep. Dx̄ 48.8m, Dmax 65m. Refs: Allen Coral Atlas 05/21; P10; T5.","Platform 2145.2 km2, 83% of which is submerged. Cays at N-SE & SW where islands are rimmed by coral/algae. Lagoon almost entirely >20m deep. Dx̄ 48.8m, Dmax 65m. Refs: Allen Coral Atlas 05/21; P10; T5.",16737442.04,974475.1555,
Ihvandiffulu,Atoll,Maldive Islands,7.0279,72.9124,http://dpanther2.fiu.edu/worldAtolls/47. Ihvandiffulu.jpg,Platform area 286 km2. Marginal & lagoon reefs rimmed with coral/algae followed by rock and sand. Dmax 49m. Refs: Allen Coral Atlas 05/21; Isaack & Gischler 2015.,Platform area 286 km2. Marginal & lagoon reefs rimmed with coral/algae followed by rock and sand. Dmax 49m. Refs: Allen Coral Atlas 05/21; Isaack & Gischler 2015.,8116571.241,784311.4458,
Pulap,Atoll,Caroline Islands,7.5901,149.422,http://dpanther2.fiu.edu/worldAtolls/256. Pulap.jpg,"Platform 43 km2, eastern and SW rim submerged (51% of perimeter). Coral/algae developed around emergent portions. Lagoon Dmax 35m, no islet/pinnacle development. Ref: Allen Coral Atlas 05/21; P10.","Platform 43 km2, eastern and SW rim submerged (51% of perimeter). Coral/algae developed around emergent portions. Lagoon Dmax 35m, no islet/pinnacle development. Ref: Allen Coral Atlas 05/21; P10.",16633580.95,847408.2175,
Tilladumatti,Atoll,Maldive Islands,6.7164,73.0161,http://dpanther2.fiu.edu/worldAtolls/48. Tilladumatti.jpg,"One atoll divided by shelf break, but often with two names. Total platform area combined with Miladhunmadulu 3850 km2; Dmax 58m Ref: Isaack & Gischler 2015.","One atoll divided by shelf break, but often with two names. Total platform area combined with Miladhunmadulu 3850 km2; Dmax 58m Ref: Isaack & Gischler 2015.",8128115.072,749384.4516,
Miladhunmadulu,Atoll,Maldive Islands,5.9665,73.2404,http://dpanther2.fiu.edu/worldAtolls/49. Miladhunmadalu.jpg,One atoll divided by shelf break; reference for depth and area combined this atoll with Tilladumatti. Faros are developed toward south here. Ref: Isaac & Gischler 2015.,One atoll divided by shelf break; reference for depth and area combined this atoll with Tilladumatti. Faros are developed toward south here. Ref: Isaac & Gischler 2015.,8153084.033,665391.4276,
Makunudu,Atoll,Maldive Islands,6.3094,72.6161,http://dpanther2.fiu.edu/worldAtolls/50. Makaenudu.jpg,"Two atolls, same platform; four islands ~6% of rim area. Platform 139 km2, Dmax 31. Proportion of lagoon sand apron to platform area 29.54% suggests filling bucket. Ref: Isaack & Gischler 2015.","Two atolls, same platform; four islands ~6% of rim area. Platform 139 km2, Dmax 31. Proportion of lagoon sand apron to platform area 29.54% suggests filling bucket. Ref: Isaack & Gischler 2015.",8083587.275,703783.0252,
S. Maalhosmadulu,Atoll,Maldive Islands,5.1798,72.9937,http://dpanther2.fiu.edu/worldAtolls/52. S_Malosmadulu.jpg,"Platform 1075 km2 with significant faro development, rim and lagoon. Dmax 55m. Ref: Isaack & Gischler 2015.","Platform 1075 km2 with significant faro development, rim and lagoon. Dmax 55m. Ref: Isaack & Gischler 2015.",8125621.515,577399.7483,
Fadiffolu,Atoll,Maldive Islands,5.3905,73.52,http://dpanther2.fiu.edu/worldAtolls/53. Fadiffolu.jpg,"Platform 699 km2, Dmax 55m. Ref: Isaack & Gischler 2015.","Platform 699 km2, Dmax 55m. Ref: Isaack & Gischler 2015.",8184208.963,600954.9207,
Goidhoo,Atoll,Maldive Islands,4.8529,72.9244,http://dpanther2.fiu.edu/worldAtolls/54. Goidhoo.jpg,"aka Baa.Platform 105 km2, Dmax 42m. Proportion of lagoon sand apron to area to platform is 27.41% suggesting a filling bucket. Ref: Isaack & Gischler 2015.","aka Baa.Platform 105 km2, Dmax 42m. Proportion of lagoon sand apron to area to platform is 27.41% suggesting a filling bucket. Ref: Isaack & Gischler 2015.",8117907.074,540869.4377,
Satawan,Atoll,Caroline Islands,5.3944,153.6206,http://dpanther2.fiu.edu/worldAtolls/262. Satawan.jpg,"Platform 428.4 km2 with coral/algal rim; passes north & south. Lagoon with narrow (<300m wide) apron. More than 15 islets/pinnacles in lagoon. Dx̄ 42.8m, Dmax 77m. Refs: Allen Coral Atlas 05/21; P10, T5.","Platform 428.4 km2 with coral/algal rim; passes north & south. Lagoon with narrow (<300m wide) apron. More than 15 islets/pinnacles in lagoon. Dx̄ 42.8m, Dmax 77m. Refs: Allen Coral Atlas 05/21; P10, T5.",17100966.97,601390.9967,
Lukunor,Atoll,Caroline Islands,5.5185,153.753,http://dpanther2.fiu.edu/worldAtolls/263. Lukunor.jpg,"Rounded triangular platform 75.2 km2; most islands and 1 pass at south. Coral/algal rim all sides, more at NE. Lagoon 52.5 km2, apron  narrow, one central pinnacle/islet, Dx̄ 31.9m, Dmax 57m. Refs: Allen Coral Atlas 05/21; P10; T5.","Rounded triangular platform 75.2 km2; most islands and 1 pass at south. Coral/algal rim all sides, more at NE. Lagoon 52.5 km2, apron  narrow, one central pinnacle/islet, Dx̄ 31.9m, Dmax 57m. Refs: Allen Coral Atlas 05/21; P10; T5.",17115705.67,615268.6311,
Male North,Atoll,Maldive Islands,4.4214,73.5037,http://dpanther2.fiu.edu/worldAtolls/56. Male North.jpg,"Platfrom 1565 km2, Dmax 69m. Ref: Isaack & Gischler 2015.","Platfrom 1565 km2, Dmax 69m. Ref: Isaack & Gischler 2015.",8182394.455,492677.2133,
Etal,Atoll,Caroline Islands,5.5903,153.5672,http://dpanther2.fiu.edu/worldAtolls/264. Etal.jpg,"Platform 21 km2, rounded triangle shape, rimmed by coral/algae. Islands primarily east and south. Lagoon 15.7 km2, mostly >20m deep, apron narrow (<150m). Coral/algae, esp. SE. No islets/pinnacles.  Ref: Allen Coral Atlas 05/21.","Platform 21 km2, rounded triangle shape, rimmed by coral/algae. Islands primarily east and south. Lagoon 15.7 km2, mostly >20m deep, apron narrow (<150m). Coral/algae, esp. SE. No islets/pinnacles.  Ref: Allen Coral Atlas 05/21.",17095022.51,623299.076,
Male South,Atoll,Maldive Islands,3.9834,73.4357,http://dpanther2.fiu.edu/worldAtolls/57. Male South.jpg,"lagoon 535 km2,  Dmax 58m. Ref: Isaack & Gischler 2015.","lagoon 535 km2,  Dmax 58m. Ref: Isaack & Gischler 2015.",8174824.73,443787.7125,
Rasdhu,Atoll,Maldive Islands,4.2921,72.9834,http://dpanther2.fiu.edu/worldAtolls/58. Rasdhu.jpg,"Lagoon 59 km2, Dmax 37m. Proportion of lagoon sand apron to platform area 21.72% suggests a filling bucket. Ref: Isaack & Gischler 2015.","Lagoon 59 km2, Dmax 37m. Proportion of lagoon sand apron to platform area 21.72% suggests a filling bucket. Ref: Isaack & Gischler 2015.",8124474.924,478241.8875,
Kapingamarangi,Atoll,Caroline Islands,1.065,154.7722,http://dpanther2.fiu.edu/worldAtolls/266. Kapingamarangi.jpg,"Platform 78.1 km2 with narrow coral/algal rim, pass at SW with coral/algal growth that rims most of 54.1 km2 lagoon, Dx̄ 40.1 with coral/sand islets/pinnacles. Dmax 79m. Refs: Allen Coral Atlas 05/21; P10; T5.","Platform 78.1 km2 with narrow coral/algal rim, pass at SW with coral/algal growth that rims most of 54.1 km2 lagoon, Dx̄ 40.1 with coral/sand islets/pinnacles. Dmax 79m. Refs: Allen Coral Atlas 05/21; P10; T5.",17229162.49,118562.0852,
Nukuoro,Atoll,Caroline Islands,3.8478,154.9414,http://dpanther2.fiu.edu/worldAtolls/267. Nukuoro.jpg,"Platform 39.2 km2 with coral/algae on rim and outer reef slope, numerous islands N, E & S. Narrow pass at SW. Lagoon apron thin, limited coral/algae on back reef slope. Dmax 99m (cf. Ngatik); 2 sand/coral pinnacles. Refs: Allen Atlas 05/21; P10.","Platform 39.2 km2 with coral/algae on rim and outer reef slope, numerous islands N, E & S. Narrow pass at SW. Lagoon apron thin, limited coral/algae on back reef slope. Dmax 99m (cf. Ngatik); 2 sand/coral pinnacles. Refs: Allen Atlas 05/21; P10.",17247997.75,428657.4678,
Ari,Atoll,Maldive Islands,3.83,72.85,http://dpanther2.fiu.edu/worldAtolls/59. Ari.jpg,"Platform 2252 km2, Dmax 69m. Ref: Isaack & Gischler 2015.","Platform 2252 km2, Dmax 69m. Ref: Isaack & Gischler 2015.",8109624.904,426671.5249,
Sapwuahfik,Atoll,Caroline Islands,5.8105,157.2732,http://dpanther2.fiu.edu/worldAtolls/268. Ngatik.jpg,"aka Ngatik. Platform 122.3 km2 with coral/algal rim, 1 pass at south lined with coral, 11m deep (NGA 81427). Lagoon 85.9 km2. Cluster of sand/coral pinnacles near center, Dmax 159m: extremely deep atoll lagoon. cf. Nukuroro.  Ref: Allen Atlas; P10.","aka Ngatik. Platform 122.3 km2 with coral/algal rim, 1 pass at south lined with coral, 11m deep (NGA 81427). Lagoon 85.9 km2. Cluster of sand/coral pinnacles near center, Dmax 159m: extremely deep atoll lagoon. cf. Nukuroro.  Ref: Allen Atlas; P10.",17507572.54,647933.4634,
Fetadu,Atoll,Maldive Islands,3.4608,73.466,http://dpanther2.fiu.edu/worldAtolls/60. Fetadu.jpg,"aka Felidu. Platform 1021 km2, Dmax 68m. Ref: Isaack & Gischler 2015.","aka Felidu. Platform 1021 km2, Dmax 68m. Ref: Isaack & Gischler 2015.",8178197.711,385488.9709,
Faafu,Atoll,Maldive Islands,3.1951,72.9295,http://dpanther2.fiu.edu/worldAtolls/62. Faafu.jpg,"aka North Nilandu. Platform 594 km2, Dmax 66m Ref: Isaack & Gischler 2015.","aka North Nilandu. Platform 594 km2, Dmax 66m Ref: Isaack & Gischler 2015.",8118474.804,355861.3921,
Ant,Atoll,Caroline Islands,6.7768,157.9598,http://dpanther2.fiu.edu/worldAtolls/271. Ant.jpg,"Platform 95.9 km2 with coral/algal rim; Islands and 1 pass at S. Lagoon 76.4 km2, Dx̄ 27.7, Dmax 67m,  >20m, except coral/algae pinnacles at  SW lagoon slope. Refs: Allen Coral Atlas 05/21; P10; T5.","Platform 95.9 km2 with coral/algal rim; Islands and 1 pass at S. Lagoon 76.4 km2, Dx̄ 27.7, Dmax 67m,  >20m, except coral/algae pinnacles at  SW lagoon slope. Refs: Allen Coral Atlas 05/21; P10; T5.",17584004.5,756155.0326,
Mulaku,Atoll,Maldive Islands,2.9917,73.5007,http://dpanther2.fiu.edu/worldAtolls/63. Mulak.jpg,"Platform 956 km2, Dmax 73m. Significant reduction in faro development on rim and in lagoon. Ref: Isaack & Gischler 2015.","Platform 956 km2, Dmax 73m. Significant reduction in faro development on rim and in lagoon. Ref: Isaack & Gischler 2015.",8182060.497,333185.9552,
