NAME,TYPE,GROUP,LAT,LONG,THUMBNAIL,NOTES,NOTES_NEW,x,y
Surprise,Atoll,New Caledonia Coral Sea,-18.4121,163.1109,http://dpanther2.fiu.edu/worldAtolls/223. Surprise.jpg,"Islands and cays 6 percent of rim area; platform 481 km2, lagoon Dmax 50m. Ref: Purdy, 2001.","Islands and cays 6 percent of rim area; platform 481 km2, lagoon Dmax 50m. Ref: Purdy, 2001.",18157422.330832567,-2085840.9922071279
Bassas da India,Atoll Reef,Mozambique Channel,-21.4791,39.6827,http://dpanther2.fiu.edu/worldAtolls/13. Bassas da India.jpg,"Submerged ~218 km2 platform (edge indistinct) with numerous apparent reefs at E/SE. Emergent platform 88.9 km2, rimmed with coral/algae. Lagoon flats rock, rubble, seagrass. Lagoon nearly all sand <10m deep. Ref: Allen Coral Atlas 05/21.","Submerged ~218 km2 platform (edge indistinct) with numerous apparent reefs at E/SE. Emergent platform 88.9 km2, rimmed with coral/algae. Lagoon flats rock, rubble, seagrass. Lagoon nearly all sand <10m deep. Ref: Allen Coral Atlas 05/21.",4417457.957302245,-2449098.6936252527
Chesterfield,Atoll Reef,New Caledonia Coral Sea,-19.2865,158.6077,http://dpanther2.fiu.edu/worldAtolls/224. Chesterfield.jpg,"SE rim (19% of perimeter) is submerged (by Allen Coral Atlas). Large atoll complex, platform 1104 km2, lagoon Dmax 53m. Ref: Purdy 2001.","SE rim (19% of perimeter) is submerged (by Allen Coral Atlas). Large atoll complex, platform 1104 km2, lagoon Dmax 53m. Ref: Purdy 2001.",17656128.3998923,-2188695.8599879765
Ile Europa,Atoll,Mozambique Channel,-22.3698,40.3699,http://dpanther2.fiu.edu/worldAtolls/14. Ile Europa.jpg,"Submerged platform with indistinct edge ~80 km2 with reefs at south (similar to Bassas). Emergent platform 46.9 km2 with coral/algal rim. Lagoon flats rock/rubbble, sandy interior, Dmax 1m. Refs: Allen Coral Atlas 05/21; Purdy, 2001.","Submerged platform with indistinct edge ~80 km2 with reefs at south (similar to Bassas). Emergent platform 46.9 km2 with coral/algal rim. Lagoon flats rock/rubbble, sandy interior, Dmax 1m. Refs: Allen Coral Atlas 05/21; Purdy, 2001.",4493956.711375378,-2555982.4387564473
St. Joseph,Closed Atoll,Amirante Islands,-5.4306,53.3358,http://dpanther2.fiu.edu/worldAtolls/15. St_Joseph.jpg,"Platform 30.2 km2, coral/algae rim; lagoon flats rock/rubble grading to sand apron. Lagoon shallow, ~4 km2; Dmax 6.4 m. Spencer et al. 2008. Privately owned atoll purchased and managed by Save Our Seas Foundation","Platform 30.2 km2, coral/algae rim; lagoon flats rock/rubble grading to sand apron. Lagoon shallow, ~4 km2; Dmax 6.4 m. Spencer et al. 2008. Privately owned atoll purchased and managed by Save Our Seas Foundation",5937314.097051887,-605438.8098554345
Beautemps-Beaupre,Atoll Reef,New Caledonia Coral Sea,-20.3455,166.1691,http://dpanther2.fiu.edu/worldAtolls/225. Beautemps-Beaupre.jpg,"Platform149 km2, lagoon Dmax 29m. Ref: Purdy, 2001.","Platform149 km2, lagoon Dmax 29m. Ref: Purdy, 2001.",18497859.597576562,-2314005.374827452
Ile Alphonse,Atoll,Amirante Islands,-7.0206,52.7374,http://dpanther2.fiu.edu/worldAtolls/16. Ile Alphonse.jpg,"Platform 23 km2 coral/algae at rim & circling lagoon. Dominant biota of the lagoon is seagrass, Dmax 10m. Refs. Allen Coral Atlas 05/21; Spencer et al. 2008.","Platform 23 km2 coral/algae at rim & circling lagoon. Dominant biota of the lagoon is seagrass, Dmax 10m. Refs. Allen Coral Atlas 05/21; Spencer et al. 2008.",5870700.51376119,-783492.6681399228
Ouvea,Atoll,New Caledonia Coral Sea,-20.5686,166.4243,http://dpanther2.fiu.edu/worldAtolls/226. Ouvea.jpg,"atoll formed on a tilted paleoatoll; 1.5 km long island uplifted. Platform 1045 km2, lagoon Dmax 44m. Refs: Dickinson 2013; Purdy, 2001.","atoll formed on a tilted paleoatoll; 1.5 km long island uplifted. Platform 1045 km2, lagoon Dmax 44m. Refs: Dickinson 2013; Purdy, 2001.",18526268.331627,-2340512.457048347
St. Francois,Atoll,Amirante Islands,-7.1177,52.749,http://dpanther2.fiu.edu/worldAtolls/17. St_FrancoiseBijoutier.jpg,"Platform 63 km2, coral/algal rim; outer lagoon flat seagrass (esp. at NW), rock & rubble; inner flat sand & rock. Lagoon shallow with sand & microalgal mats. Small areas at north (~70 ha) Dmax >10m. Refs: Allen Coral Atlas 05/21; Spencer et al. 2008.","Platform 63 km2, coral/algal rim; outer lagoon flat seagrass (esp. at NW), rock & rubble; inner flat sand & rock. Lagoon shallow with sand & microalgal mats. Small areas at north (~70 ha) Dmax >10m. Refs: Allen Coral Atlas 05/21; Spencer et al. 2008.",5871991.819854396,-794384.5886481417
Bellona,Atoll Reef,New Caledonia Coral Sea,-21.156,158.9917,http://dpanther2.fiu.edu/worldAtolls/227. Bellona.jpg,"Large atoll complex composed of north, central, and southern reefs. Platform area  >7000 km2 by Google Earth measurement, but northern and eastern boundaries, along with some of the western rim (68% of perimeter), are beyond satellite resolution.","Large atoll complex composed of north, central, and southern reefs. Platform area  >7000 km2 by Google Earth measurement, but northern and eastern boundaries, along with some of the western rim (68% of perimeter), are beyond satellite resolution.",17698875.08435692,-2410489.6715241796
Farquhar,Atoll,Seychelles Islands,-10.1893,51.1017,http://dpanther2.fiu.edu/worldAtolls/18. Farquhar.jpg,"Platform 180 km2, rimmed with coral/algae esp. on the east. Lagoon shallow, bounded by seagrass; sandy center, Dmax 9m. Refs: Allen Coral Atlas 05/21; Purdy, 2001.","Platform 180 km2, rimmed with coral/algae esp. on the east. Lagoon shallow, bounded by seagrass; sandy center, Dmax 9m. Refs: Allen Coral Atlas 05/21; Purdy, 2001.",5688615.222670633,-1140294.1102933043
Osprey,Atoll Reef,"Australia, Coral Sea",-13.911,146.6319,http://dpanther2.fiu.edu/worldAtolls/228. Osprey.jpg,"Platform ~185 km2 by Google Earth;coral/algal rim followed by rocky flats and thin sand apron. Lagoon, deep with no visible features in Allen Atlas (05/21). Dmax 34m ref: Dunstan et al. 2011. Compare with lagoon area of 216 km2, Dmax 62 by Purdy 2001.","Platform ~185 km2 by Google Earth;coral/algal rim followed by rocky flats and thin sand apron. Lagoon, deep with no visible features in Allen Atlas (05/21). Dmax 34m ref: Dunstan et al. 2011. Compare with lagoon area of 216 km2, Dmax 62 by Purdy 2001.",16322988.442050222,-1564007.7836011376
Aldabra,Atoll,Seychelles Islands,-9.4203,46.3411,http://dpanther2.fiu.edu/worldAtolls/19. Aldabra.jpg,"Platform 367 km2 with coral/algal rim; weakest at west. Atoll uplifted to 8m at south. Lagoon predominantly shallow, sandy with microalgal mats, mostly < 10m; Dmax 18m. Refs: Allen Coral Atlas 05/21; Purdy, 2001; Stoddart et al. 1971.","Platform 367 km2 with coral/algal rim; weakest at west. Atoll uplifted to 8m at south. Lagoon predominantly shallow, sandy with microalgal mats, mostly < 10m; Dmax 18m. Refs: Allen Coral Atlas 05/21; Purdy, 2001; Stoddart et al. 1971.",5158667.654800175,-1053419.8234639228
Holmes,Atoll Reef,"Australia, Coral Sea",-16.4582,147.94,http://dpanther2.fiu.edu/worldAtolls/229. Holmes.jpg,"Two reefs as shown, western comma-shaped, platform 56.7 km2 with coral at east; lagoon mostly>10m deep ~28 km2. East reef with coral rim open at west; platform ~106 km2; lagoon 67.5 km2 >10m; 38.8m Dmax from chart AU4615P2. Ref: Allen Coral Atlas 05/21.","Two reefs as shown, western comma-shaped, platform 56.7 km2 with coral at east; lagoon mostly>10m deep ~28 km2. East reef with coral rim open at west; platform ~106 km2; lagoon 67.5 km2 >10m; 38.8m Dmax from chart AU4615P2. Ref: Allen Coral Atlas 05/21.",16468605.467956899,-1857846.3933651927
Cosmoledo,Atoll,Seychelles Islands,-9.7219,47.5927,http://dpanther2.fiu.edu/worldAtolls/20. Cosmoledo.jpg,"Platform 151 km2, coral/algae at rim except SE. Outer lagoon flat rock, then rubble & seagrass. Lagoon mostly <10m deep with extensive sand & microalgal mats. Dmax 7m. Refs: Allen Coral Atlas 05/21; Purdy, 2001.","Platform 151 km2, coral/algae at rim except SE. Outer lagoon flat rock, then rubble & seagrass. Lagoon mostly <10m deep with extensive sand & microalgal mats. Dmax 7m. Refs: Allen Coral Atlas 05/21; Purdy, 2001.",5297995.129477035,-1087467.7692436117
Lihou,Atoll,"Australia, Coral Sea",-17.3229,151.8021,http://dpanther2.fiu.edu/worldAtolls/230. Lihou.jpg,"Platform 2526 km2, NW side submerged. Coral rim lagoon with scattered patch reefs. Lagoon primarily >20m deep by Allen Atlas (05/21) NOT Dmax 5m (Purdy 2001).","Platform 2526 km2, NW side submerged. Coral rim lagoon with scattered patch reefs. Lagoon primarily >20m deep by Allen Atlas (05/21) NOT Dmax 5m (Purdy 2001).",16898532.473349605,-1958445.115219997
Astove,Atoll,Seychelles Islands,-10.0884,47.7457,http://dpanther2.fiu.edu/worldAtolls/21. Astove.jpg,"Platform 3.4 km2, coral/algal rim; seagrass at outer flat; Dmax 0.5m, predominantly sandy bottom and essentially closed despite a pass; lagoon floods at spring tide, drains at neap. Ref: Allen Coral Atlas; Bayne et al. 1970.","Platform 3.4 km2, coral/algal rim; seagrass at outer flat; Dmax 0.5m, predominantly sandy bottom and essentially closed despite a pass; lagoon floods at spring tide, drains at neap. Ref: Allen Coral Atlas; Bayne et al. 1970.",5315027.011568408,-1128883.7890585705
Mellish,Atoll Reef,"Australia, Coral Sea",-17.3935,155.8697,http://dpanther2.fiu.edu/worldAtolls/231. Mellish.jpg,"Platform arcuate, 23 km2, coral rim except depressed embayment at west. Lagoon sand/rubble; deeper area of 68 ha 10-20m deep,  200-300m wide at NW; Dmax 15m. Refs:  Allen Coral Atlas 05/21; Purdy, 2001.","Platform arcuate, 23 km2, coral rim except depressed embayment at west. Lagoon sand/rubble; deeper area of 68 ha 10-20m deep,  200-300m wide at NW; Dmax 15m. Refs:  Allen Coral Atlas 05/21; Purdy, 2001.",17351335.63410032,-1966679.2697621
Glorioso,Atoll,Seychelles Islands,-11.5468,47.3258,http://dpanther2.fiu.edu/worldAtolls/22. Glorioso.jpg,"Atoll? Platform 180 km2, but  submerged at north side;  emergent platform ~63.6 km2. Little coral development. Rock/rubble flats at E/NE; lagoon sandy with microalgal mats. Ref: Allen Coral Atlas 05/21.","Atoll? Platform 180 km2, but  submerged at north side;  emergent platform ~63.6 km2. Little coral development. Rock/rubble flats at E/NE; lagoon sandy with microalgal mats. Ref: Allen Coral Atlas 05/21.",5268283.957384314,-1294174.105007866
Marion,Atoll Reef,"Australia, Coral Sea",-19.1133,152.2913,http://dpanther2.fiu.edu/worldAtolls/231. Marion.jpg,"Western rim is mostly submerged. Platform 964 km2 with coral/algal rim. Lagoon almost all >20m with submerged patch reef-like structures at south. Dmax 55m. Refs: Allen Coral Atlas 05/21; Purdy, 2001.","Western rim is mostly submerged. Platform 964 km2 with coral/algal rim. Lagoon almost all >20m with submerged patch reef-like structures at south. Dmax 55m. Refs: Allen Coral Atlas 05/21; Purdy, 2001.",16952989.968245674,-2168279.7062000353
Blenheim,Atoll Reef,Chagos Archipelago,-5.2148,72.468,http://dpanther2.fiu.edu/worldAtolls/23. Blenheim.jpg,Rim primarily at depth of 5 m or less but with very well developed algal ridges (Sheppard et al. 2013). Submerged rim strongly dev. coral/algal esp.at S & into lagoon. Ref: Allen Coral Atlas 05/21.,Rim primarily at depth of 5 m or less but with very well developed algal ridges (Sheppard et al. 2013). Submerged rim strongly dev. coral/algal esp.at S & into lagoon. Ref: Allen Coral Atlas 05/21.,8067100.8588069575,-581312.0151307352
Frederick,Atoll Reef,"Australia, Coral Sea",-20.944,154.3798,http://dpanther2.fiu.edu/worldAtolls/233. Frederick.jpg,Platform 47 km2 with emergent rim at SE/S and NE with coral/algal dev. outside and toward lagoon. Lagoon northern half (36.8 km2) is deeper than at south. No patch reefs. Lagoon Dmax on Frederick Reef chart (see refs) 38-40m. Ref: Allen Coral Atlas 05/21,Platform 47 km2 with emergent rim at SE/S and NE with coral/algal dev. outside and toward lagoon. Lagoon northern half (36.8 km2) is deeper than at south. No patch reefs. Lagoon Dmax on Frederick Reef chart (see refs) 38-40m. Ref: Allen Coral Atlas 05/21,17185480.72476742,-2385202.437536871
Saloman,Atoll,Chagos Archipelago,-5.3303,72.246,http://dpanther2.fiu.edu/worldAtolls/24. Saloman.jpg,"Platform 72.4 km2 rimmed with coral/algae; lagoon flats rock, rubble. Lagoon: sand rimmed with coral/algae; >20m deep =~ 18 km2 but incl. patch reefs; Dmax 42m. Refs:Allen Coral Atlas 05/21; Purdy, 2001.","Platform 72.4 km2 rimmed with coral/algae; lagoon flats rock, rubble. Lagoon: sand rimmed with coral/algae; >20m deep =~ 18 km2 but incl. patch reefs; Dmax 42m. Refs:Allen Coral Atlas 05/21; Purdy, 2001.",8042387.931850846,-594224.0514488709
Kenn,Atoll Reef,"Australia, Coral Sea",-21.2196,155.758,http://dpanther2.fiu.edu/worldAtolls/234. Kenn.jpg,"Platform 343 km2 with submerged western rim. Emergent islands coral rimmed on all sides except largest with sand margin toward lagoon. No lagoon reefs. Dmax 68m. Ref: Purdy, 2001.","Platform 343 km2 with submerged western rim. Emergent islands coral rimmed on all sides except largest with sand margin toward lagoon. No lagoon reefs. Dmax 68m. Ref: Purdy, 2001.",17338901.246978708,-2418082.887051775
Peros Banhos,Atoll,Chagos Archipelago,-5.3542,71.8489,http://dpanther2.fiu.edu/worldAtolls/25. Peros Banhos.jpg,"Platform 503 km2 with typical donation of coral/alge, followed by rock, rubble and perilagoonal sand. Lagoon large with ~40 patch reefs, mostly >20m deep; Dmax 66m. Refs: Allen Coral Atlas 05/21;Purdy, 2001.","Platform 503 km2 with typical donation of coral/alge, followed by rock, rubble and perilagoonal sand. Lagoon large with ~40 patch reefs, mostly >20m deep; Dmax 66m. Refs: Allen Coral Atlas 05/21;Purdy, 2001.",7998182.962056842,-596896.1942497242
Saumarez,Atoll Reef,"Australia, Coral Sea",-21.832,153.6425,http://dpanther2.fiu.edu/worldAtolls/235. Saumarez.jpg,Platform 611 km2 with most of western and northern rim submerged. Cora/algal around edges of emergent portion. Lagoon deep with no patch reef development observable. Dmax 44m. Refs:Allen Coral Atlas 05/21; Purdy 2001.,Platform 611 km2 with most of western and northern rim submerged. Cora/algal around edges of emergent portion. Lagoon deep with no patch reef development observable. Dmax 44m. Refs:Allen Coral Atlas 05/21; Purdy 2001.,17103404.86420554,-2491366.7385187587
Egmont,Atoll,Southern Chagos Archipelago,-6.6586,71.3523,http://dpanther2.fiu.edu/worldAtolls/26. Egmont.jpg,"Platform 29 km2 rimmmed by coral/algae. Outer lagoon flats rocky. Inner flats rubble grading into sand and coral/algae. Lagoon with numerous patch reefs NW & SE;lagoon >20m deep ~11 km2, but incl. many patch reefs; Dmax 24m. Refs: Allen Atlas; Purdy, 200","Platform 29 km2 rimmmed by coral/algae. Outer lagoon flats rocky. Inner flats rubble grading into sand and coral/algae. Lagoon with numerous patch reefs NW & SE;lagoon >20m deep ~11 km2, but incl. many patch reefs; Dmax 24m. Refs: Allen Atlas; Purdy, 200",7942901.702928903,-742906.1066561848
Wreck,Atoll Reef,"Australia, Coral Sea",-22.1891,155.3322,http://dpanther2.fiu.edu/worldAtolls/236. Wreck.jpg,"Platform 188 km2 rim visible only at south. Lagoon Dmax 26m, no patch reef development. Refs:  Allen Coral Atlas 05/21; Purdy 2001.","Platform 188 km2 rim visible only at south. Lagoon Dmax 26m, no patch reef development. Refs:  Allen Coral Atlas 05/21; Purdy 2001.",17291501.407798935,-2534244.1393383252
Diego Garcia,Atoll,Chagos Archipelago,-7.3237,72.4531,http://dpanther2.fiu.edu/worldAtolls/27. Diego Garcia.jpg,"Platform 174 km2 with coral rim. Lagoon flats heavily modified. Central lagoon >20m deep ~ 78 km2 incl. numerous patch reefs; Dmax 25m. Sand & coral separate 8 km2 coral-reticulated southern lagoon. Refs: Allen Coral Atlas 05/21; Purdy, 2001.","Platform 174 km2 with coral rim. Lagoon flats heavily modified. Central lagoon >20m deep ~ 78 km2 incl. numerous patch reefs; Dmax 25m. Sand & coral separate 8 km2 coral-reticulated southern lagoon. Refs: Allen Coral Atlas 05/21; Purdy, 2001.",8065442.1983941365,-817499.7344972973
Cato,Atoll,"Australia, Coral Sea",-23.2213,155.5274,http://dpanther2.fiu.edu/worldAtolls/236. Cato Reef.jpg,"Platform >100 km2 (estimated from Google Earth), but with 5 km2 lagoon island that emerges from rim. Its lagoon shallow, < 10 m deep, primarily sandy, 2.5 km2, Dmax 4m. Refs: Allen Coral Atlas 05/2; Purdy 2001.","Platform >100 km2 (estimated from Google Earth), but with 5 km2 lagoon island that emerges from rim. Its lagoon shallow, < 10 m deep, primarily sandy, 2.5 km2, Dmax 4m. Refs: Allen Coral Atlas 05/2; Purdy 2001.",17313230.972401783,-2658803.158285623
North Keeling,Closed Atoll,Eastern indian Ocean,-11.8332,96.8241,http://dpanther2.fiu.edu/worldAtolls/28. No_Keeling.jpg,"Closed atoll, large islands enclose a partially bisected 85 ha lagoon. Ref: Allen Coral  Atlas 04/21.","Closed atoll, large islands enclose a partially bisected 85 ha lagoon. Ref: Allen Coral  Atlas 04/21.",10778409.508517005,-1326731.3392112267
Middleton,Atoll Reef,"Australia, Coral Sea",-29.4766,159.0845,http://dpanther2.fiu.edu/worldAtolls/238. Middleton.jpg,"Kidney-shaped atoll reef; lagoon shallow, slightly smaller than Elizabeth Reef measuring 8.6 km x 5km, mostly sand flats 1-2m below low tide. Ref: Woodroffe et al. 2004.","Kidney-shaped atoll reef; lagoon shallow, slightly smaller than Elizabeth Reef measuring 8.6 km x 5km, mostly sand flats 1-2m below low tide. Ref: Woodroffe et al. 2004.",17709205.533102535,-3436447.519558901
South Keeling,Atoll,Eastern indian Ocean,-12.1469,96.8693,http://dpanther2.fiu.edu/worldAtolls/29. So_Keeling.jpg,"lagoon 99.5 km2. Coral rim at islands north & west.  Lagoon mostly <10 m deep with sandy bottom; ~remaining 23 km2  Dmax 15m. Tidal flushing 2-5 days through deep passes. Refs. Allen Coral Atlas 04/21; Purdy, 2001; Kench 1998.","lagoon 99.5 km2. Coral rim at islands north & west.  Lagoon mostly <10 m deep with sandy bottom; ~remaining 23 km2  Dmax 15m. Tidal flushing 2-5 days through deep passes. Refs. Allen Coral Atlas 04/21; Purdy, 2001; Kench 1998.",10783441.149500864,-1362431.1490730878
Seringatapam,Atoll Reef,Eastern indian Ocean,-13.6673,122.0124,http://dpanther2.fiu.edu/worldAtolls/30. Seringatapam.jpg,"Platform 48.1 km2; outer reef flat rocky; inner reef flat rubble. Shallow lagoon sand, followed by inner ring of coral/algae & ~ 17km2 lagoon Dmax 17m, some scattered reef areas Ref: Allen Atlas 05/21; Dmax 30m (Purdy 2001); 17m by GPSnauticalcharts.com","Platform 48.1 km2; outer reef flat rocky; inner reef flat rubble. Shallow lagoon sand, followed by inner ring of coral/algae & ~ 17km2 lagoon Dmax 17m, some scattered reef areas Ref: Allen Atlas 05/21; Dmax 30m (Purdy 2001); 17m by GPSnauticalcharts.com",13582358.23846522,-1536074.1372602982
Elizabeth,Atoll Reef,"Australia, Coral Sea",-29.9476,159.0837,http://dpanther2.fiu.edu/worldAtolls/239. Elizabeth.jpg,Rim exposed at low tide; lagoon 37.8 km2 by Google Earth; lagoon with reticulate coral growth mostly <15m deep. Ref: Woodroffe et al. 2004.,Rim exposed at low tide; lagoon 37.8 km2 by Google Earth; lagoon with reticulate coral growth mostly <15m deep. Ref: Woodroffe et al. 2004.,17709116.477509897,-3496816.088758546
Scott,Atoll Reef,Eastern indian Ocean,-14.082,121.8631,http://dpanther2.fiu.edu/worldAtolls/31. Scott.jpg,"Platform 111.5 km2 with two passes. Adjacent semicircular Horseshoe Reef (aka Scott Reef South) with double reef crest 8 km to S. Similar zonation as Seringatapam. Ref: Allen Coral Atlas 05/21; GPSnauticalcharts.com: Dmax 50m (south), 7.5m (north).","Platform 111.5 km2 with two passes. Adjacent semicircular Horseshoe Reef (aka Scott Reef South) with double reef crest 8 km to S. Similar zonation as Seringatapam. Ref: Allen Coral Atlas 05/21; GPSnauticalcharts.com: Dmax 50m (south), 7.5m (north).",13565738.238489779,-1583625.875765196
